name	descr	pvalue	qvalue	NES	ES
REGULATION OF CHYLOMICRON REMODELING%GOBP%GO:0090318	NUCLEAR CHROMOSOME SEGREGATION	0.767012687427912	1	-0.855152275228896	-0.266108790499213
NEGATIVE REGULATION OF CARGO LOADING INTO COPII-COATED VESICLE%GOBP%GO:1901303	VACUOLAR ACIDIFICATION	0.888451443569554	1	-0.701968064436689	-0.263132054885966
EPITHELIAL CELL MATURATION%GOBP%GO:0002070	POSITIVE REGULATION OF AMYLOID-BETA FORMATION	0.889221556886228	1	0.690965348739314	0.267203930564289
POSITIVE REGULATION OF HEME BIOSYNTHETIC PROCESS%GOBP%GO:0070455	LIMBIC SYSTEM DEVELOPMENT	0.656626506024096	1	-0.853650633573959	-0.384706827769798
POSITIVE REGULATION OF CELL POPULATION PROLIFERATION%GOBP%GO:0008284	3'-UTR-MEDIATED MRNA DESTABILIZATION	0.310144927536232	0.999049481535383	-1.14493657552263	-0.483008437213522
INOSITOL BIOSYNTHETIC PROCESS%GOBP%GO:0006021	REGULATION OF GLUCOSE METABOLIC PROCESS	0.893368010403121	1	-0.720049156256301	-0.254502947677764
RESPONSE TO ARSENITE(3-)%GOBP%GO:1903840	CELLULAR RESPONSE TO AMINO ACID STIMULUS	0.159841479524439	0.848650621748632	-1.25010276441145	-0.463254445531439
ESTROGEN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0030520	CELL VOLUME HOMEOSTASIS	0.211538461538462	0.904644014253905	1.23166066511686	0.454550495342432
UMP CATABOLIC PROCESS%GOBP%GO:0046050	NEGATIVE REGULATION OF INTERLEUKIN-10 PRODUCTION	0.843410852713178	1	-0.71215828157562	-0.345689800033788
REGULATION OF METANEPHRIC DCT CELL DIFFERENTIATION%GOBP%GO:2000592	MORPHOGENESIS OF A POLARIZED EPITHELIUM	0.817771084337349	1	-0.724887907538932	-0.326678522137861
POSITIVE REGULATION OF INTRACELLULAR TRANSPORT%GOBP%GO:0032388	VENTRICULAR SEPTUM DEVELOPMENT	0.60968660968661	1	-0.91052450994935	-0.37492892147714
REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION%GOBP%GO:0051056	REGULATION OF RESPONSE TO TUMOR CELL	0.978494623655914	1	0.549826526325187	0.193937556535832
ESTROGEN CATABOLIC PROCESS%GOBP%GO:0006711	REGULATION OF PROTEOLYSIS	0.568098159509203	1	-0.946409627356287	-0.314516026682294
CARDIAC CELL DEVELOPMENT%GOBP%GO:0055006	CARBOXYLIC ACID TRANSMEMBRANE TRANSPORT	0.62719298245614	1	0.924142955735952	0.266062594109035
